Position,Team,Matches,Won,Lost,Tied,NR,Points,NRR
1,Gujarat Titans (GT),14,10,4,0,0,20,+0.316
2,Rajasthan Royals (RR),14,9,5,0,0,18,+0.298
3,Lucknow Super Giants (LSG),14,9,5,0,0,18,+0.251
4,Royal Challengers Bangalore (RCB),14,8,6,0,0,16,-0.253
5,Delhi Capitals (DC),14,7,7,0,0,14,+0.204
6,Punjab Kings (PBKS),14,7,7,0,0,14,+0.126
7,Kolkata Knight Riders (KKR),14,6,8,0,0,12,+0.146
8,Sunrisers Hyderabad (SRH),14,6,8,0,0,12,-0.379
9,Chennai Super Kings (CSK),14,4,10,0,0,8,-0.203
10,Mumbai Indians (MI),14,4,10,0,0,8,-0.506
